environment,media_s1,absente,comportament,trece
urban,3.13,6.0,0.13,0
rural,5.48,5.0,0.66,1
urban,5.24,2.0,0.45,1
urban,7.2,5.0,0.22,1
rural,7.96,2.0,0.52,1
urban,9.99,4.0,0.62,1
rural,6.01,5.0,0.41,1
rural,6.0,6.0,0.17,1
urban,9.3,3.0,0.65,1
rural,7.59,6.0,0.12,1
urban,9.54,6.0,0.65,1
rural,7.58,3.0,0.27,1
rural,4.69,4.0,0.0,0
urban,4.33,4.0,0.47,0
rural,3.9,7.0,0.31,0
rural,8.32,4.0,0.23,1
rural,9.38,,0.5,0
rural,10.0,5.0,0.34,1
rural,8.69,2.0,0.3,1
urban,9.33,,0.76,0
rural,5.84,5.0,0.08,1
urban,4.69,3.0,,1
rural,8.7,,0.25,0
urban,7.84,8.0,0.29,1
urban,,,0.44,0
rural,7.77,5.0,0.92,1
rural,7.65,4.0,0.66,1
rural,9.57,6.0,0.19,1
urban,9.59,3.0,0.57,1
rural,8.09,5.0,0.15,1
urban,8.69,3.0,0.89,1
urban,8.03,7.0,0.42,1
urban,6.08,5.0,0.95,1
rural,8.51,7.0,0.66,1
rural,4.21,6.0,0.83,1
urban,9.11,8.0,0.18,1
urban,4.61,6.0,0.85,0
rural,7.57,4.0,0.19,1
urban,5.31,4.0,0.98,1
rural,8.11,2.0,0.28,1
urban,6.93,2.0,0.68,1
rural,3.81,5.0,0.55,1
urban,7.84,2.0,0.48,1
rural,5.84,1.0,0.43,1
urban,8.76,4.0,0.38,1
rural,7.0,6.0,0.3,1
rural,,6.0,0.6,0
urban,5.08,9.0,0.98,1
urban,5.82,3.0,0.67,1
rural,6.08,9.0,0.76,1
urban,8.71,6.0,0.65,1
rural,10.0,11.0,0.52,1
urban,5.39,5.0,0.82,1
rural,9.15,2.0,0.32,1
rural,2.66,7.0,0.27,0
rural,4.61,2.0,,1
rural,5.08,2.0,0.58,1
rural,4.29,5.0,0.0,0
rural,3.83,7.0,0.84,1
urban,7.83,4.0,0.3,1
urban,6.57,6.0,0.6,1
urban,7.76,6.0,0.05,1
rural,8.38,2.0,0.43,1
rural,7.53,10.0,0.07,1
rural,8.32,4.0,0.01,1
rural,6.86,4.0,,1
urban,4.63,4.0,0.4,1
urban,9.12,3.0,0.81,1
rural,5.82,3.0,0.34,1
urban,5.13,7.0,0.65,1
urban,6.64,7.0,,1
rural,5.17,7.0,0.19,1
urban,6.17,3.0,0.47,1
rural,7.69,5.0,0.44,1
urban,7.7,7.0,0.19,1
rural,5.2,7.0,0.87,1
rural,6.02,4.0,0.28,1
rural,9.15,8.0,,1
rural,7.99,8.0,0.34,1
urban,10.0,,1.0,0
rural,9.36,10.0,0.35,1
rural,9.29,6.0,0.26,1
rural,4.22,9.0,0.91,0
urban,8.53,8.0,0.16,1
rural,,6.0,0.92,0
urban,5.9,4.0,0.57,1
rural,7.34,2.0,0.22,1
urban,8.89,3.0,0.25,1
urban,8.0,1.0,0.71,1
rural,5.24,8.0,0.04,1
urban,8.48,7.0,,1
rural,5.72,5.0,,1
rural,7.43,2.0,0.81,1
rural,6.39,7.0,0.12,1
urban,6.56,12.0,0.25,1
urban,8.53,5.0,0.44,1
rural,4.92,3.0,0.88,0
rural,10.0,,0.28,0
urban,3.36,5.0,0.84,0
rural,5.8,,0.1,0
rural,7.74,3.0,0.17,1
rural,8.17,3.0,0.16,1
urban,6.8,1.0,0.61,1
urban,6.89,5.0,0.39,1
urban,7.82,2.0,0.86,1
rural,6.54,4.0,0.49,1
rural,9.79,2.0,,1
rural,8.68,7.0,0.24,1
urban,8.75,3.0,0.93,1
rural,5.07,9.0,0.63,1
rural,6.84,6.0,0.51,1
rural,6.4,5.0,0.61,1
rural,4.99,2.0,0.92,1
urban,7.72,5.0,0.34,1
urban,5.92,5.0,0.25,1
rural,8.31,8.0,0.25,1
urban,4.86,2.0,0.97,0
urban,10.0,5.0,0.34,1
rural,5.21,5.0,0.88,1
rural,7.44,6.0,0.14,1
urban,,,0.43,0
rural,5.86,3.0,0.62,1
urban,8.7,9.0,0.96,1
rural,4.54,6.0,0.68,1
urban,9.9,5.0,0.0,1
rural,7.03,4.0,0.76,1
urban,5.81,3.0,0.65,1
urban,6.4,11.0,0.19,1
urban,,6.0,0.62,0
rural,5.83,3.0,0.93,1
urban,5.5,7.0,0.0,1
urban,6.56,6.0,0.97,1
rural,4.65,2.0,0.3,1
rural,10.0,4.0,0.61,1
urban,5.87,5.0,0.28,1
urban,8.66,,0.73,0
rural,7.42,2.0,0.52,1
rural,5.03,4.0,0.26,1
rural,6.99,6.0,0.5,1
rural,8.57,4.0,,1
rural,6.62,6.0,0.25,1
urban,9.39,8.0,0.59,1
rural,9.04,7.0,0.64,1
urban,8.84,8.0,0.14,1
urban,6.08,5.0,0.93,1
urban,4.84,1.0,0.01,1
rural,5.77,,0.28,0
urban,7.39,5.0,0.34,1
urban,8.09,,0.07,0
rural,2.66,2.0,0.09,0
urban,6.98,6.0,,1
urban,7.32,,0.36,0
rural,6.44,3.0,0.37,1
urban,9.58,5.0,0.69,1
urban,7.84,7.0,0.72,1
urban,9.62,4.0,0.71,1
rural,6.57,3.0,0.47,1
rural,8.87,2.0,,1
rural,10.0,4.0,0.92,1
urban,9.62,8.0,0.13,1
urban,4.82,9.0,0.57,0
rural,6.49,11.0,0.88,1
urban,6.31,4.0,0.97,1
urban,7.98,8.0,0.09,1
rural,8.37,2.0,0.95,1
rural,5.32,2.0,0.73,1
urban,7.14,8.0,0.72,1
urban,2.96,3.0,0.15,0
urban,9.88,6.0,0.58,1
rural,5.98,6.0,0.36,1
rural,7.11,6.0,0.59,1
rural,6.38,4.0,0.74,1
rural,9.29,2.0,0.18,1
urban,1.32,4.0,0.15,0
rural,6.97,7.0,0.36,1
rural,6.79,5.0,0.64,1
rural,6.09,5.0,0.67,1
rural,10.0,5.0,0.61,1
rural,5.23,4.0,0.85,1
urban,8.54,4.0,0.73,1
urban,7.71,2.0,0.5,1
rural,9.52,4.0,0.48,1
urban,5.67,3.0,0.8,1
rural,5.53,5.0,0.88,1
rural,9.19,3.0,0.85,1
urban,7.85,6.0,0.5,1
urban,3.91,8.0,0.58,1
rural,5.92,5.0,0.79,1
rural,7.77,6.0,0.58,1
rural,8.68,2.0,0.22,1
urban,5.64,7.0,0.89,1
rural,1.17,4.0,0.49,0
rural,8.05,7.0,0.98,1
rural,4.56,3.0,0.55,0
urban,2.97,7.0,0.39,0
rural,1.34,5.0,0.21,0
rural,8.63,4.0,0.34,1
urban,7.26,7.0,0.22,1
rural,6.55,5.0,0.92,1
rural,9.78,6.0,0.6,1
urban,8.27,7.0,0.82,1
rural,10.0,6.0,0.21,1
urban,,8.0,0.06,0
urban,6.93,4.0,0.42,1
rural,3.77,7.0,,0
rural,6.54,5.0,0.11,1
rural,6.5,5.0,0.79,1
rural,8.25,5.0,0.06,1
urban,7.09,4.0,0.17,1
rural,8.25,2.0,0.73,1
urban,8.41,,0.21,0
rural,10.0,7.0,0.02,1
rural,6.37,4.0,0.22,1
rural,5.12,6.0,0.73,1
urban,7.49,4.0,0.53,1
rural,5.4,3.0,0.55,1
rural,9.96,2.0,0.41,1
rural,6.43,3.0,0.15,1
rural,5.87,5.0,0.22,1
urban,6.06,11.0,0.19,1
rural,8.44,4.0,0.71,1
urban,6.68,6.0,0.85,1
urban,5.72,8.0,0.24,1
urban,10.0,8.0,0.17,1
urban,5.29,4.0,0.25,1
urban,7.07,12.0,0.94,1
urban,8.3,7.0,0.21,1
rural,3.74,1.0,0.69,1
urban,7.96,1.0,0.12,1
urban,,7.0,0.66,0
urban,8.65,3.0,0.24,1
rural,5.07,4.0,0.84,1
rural,8.39,2.0,0.02,1
urban,9.21,3.0,0.5,1
rural,8.72,8.0,0.66,1
urban,7.5,4.0,0.74,1
urban,6.54,10.0,0.9,1
rural,5.85,4.0,0.63,1
urban,9.94,3.0,0.13,1
rural,5.6,3.0,0.72,1
rural,4.93,3.0,0.53,0
urban,,5.0,,0
urban,5.41,5.0,0.14,1
rural,5.1,8.0,0.83,1
urban,4.11,7.0,0.57,1
urban,6.03,5.0,0.16,1
urban,6.83,,0.79,0
rural,7.49,4.0,0.59,1
rural,8.9,6.0,0.17,1
urban,8.05,4.0,0.45,1
rural,6.62,4.0,0.93,1
rural,6.6,3.0,0.75,1
rural,8.02,,0.39,0
rural,9.55,3.0,0.01,1
rural,7.25,7.0,0.23,1
urban,6.06,8.0,0.18,1
urban,5.01,6.0,0.38,1
urban,4.11,6.0,0.88,1
rural,8.33,2.0,0.18,1
rural,8.16,9.0,0.05,1
urban,8.15,7.0,0.13,1
rural,6.74,5.0,0.45,1
urban,9.81,6.0,0.07,1
urban,6.03,4.0,0.56,1
urban,8.91,6.0,0.27,1
rural,6.92,,0.37,0
rural,5.78,,0.16,0
urban,8.19,4.0,0.75,1
urban,7.82,2.0,0.38,1
urban,7.71,5.0,0.12,1
urban,7.16,6.0,0.36,1
rural,6.92,4.0,0.98,1
rural,10.0,6.0,0.71,1
urban,9.37,3.0,0.87,1
urban,,8.0,0.89,0
rural,7.22,,0.55,0
rural,9.01,5.0,0.56,1
urban,,1.0,0.91,0
urban,7.05,9.0,0.87,1
urban,6.39,3.0,0.72,1
rural,6.84,2.0,0.82,1
rural,0.66,10.0,0.74,0
rural,7.42,4.0,0.31,1
urban,6.02,6.0,0.12,1
urban,10.0,11.0,0.72,1
rural,7.04,6.0,0.91,1
rural,4.62,3.0,0.98,0
urban,6.9,4.0,0.05,1
rural,4.91,,0.64,0
rural,7.95,4.0,0.62,1
urban,7.58,7.0,0.37,1
rural,8.92,5.0,0.55,1
urban,5.42,7.0,0.46,1
urban,7.07,,0.92,0
urban,4.27,1.0,0.3,1
urban,8.4,4.0,0.18,1
urban,8.04,10.0,0.67,1
urban,7.99,6.0,0.29,1
urban,7.0,10.0,,1
rural,7.83,6.0,0.8,1
urban,10.0,4.0,0.32,1
urban,6.43,6.0,0.99,1
rural,7.28,2.0,0.31,1
rural,4.83,5.0,0.56,1
rural,5.26,5.0,0.16,1
urban,7.2,3.0,0.53,1
rural,9.21,6.0,0.27,1
urban,6.49,1.0,0.68,1
urban,6.53,3.0,0.03,1
urban,6.19,4.0,0.7,1
urban,5.93,5.0,0.52,1
rural,7.59,3.0,0.38,1
rural,4.01,1.0,0.06,0
urban,9.56,4.0,0.06,1
urban,5.67,4.0,0.79,1
urban,8.44,8.0,0.74,1
rural,4.46,6.0,0.47,0
urban,8.34,1.0,0.01,1
urban,8.34,6.0,0.81,1
rural,7.77,4.0,0.67,1
rural,5.01,3.0,0.08,1
urban,7.5,2.0,0.28,1
rural,4.63,5.0,,0
rural,6.49,5.0,0.87,1
urban,9.06,6.0,0.5,1
rural,8.59,2.0,0.37,1
urban,7.03,3.0,0.63,1
rural,5.05,0.0,0.75,1
urban,8.29,6.0,0.65,1
urban,7.04,,0.83,0
urban,2.36,3.0,0.59,0
rural,8.57,7.0,0.0,1
urban,6.95,7.0,0.14,1
rural,9.4,5.0,0.87,1
urban,4.81,5.0,,0
urban,0.65,4.0,0.62,0
rural,7.56,5.0,0.21,1
urban,7.58,2.0,0.96,1
urban,3.62,4.0,0.23,1
rural,5.04,6.0,0.36,1
